Emmenthal
angel's trumpet
artemisia
philadelphus
calliandra
wahoo
camellia
deutzia
hortensia
burdock
common mugwort
bird's foot trefoil
great burdock
St John's wort
eriogonum
matilija poppy
marguerite
creeping St John's wort
klammath weed
common St John's wort
Adam's needle
hollyhock
althea
woodbine
poinsettia
rosebay
woodwaxen
kowhai
bottle-tree
hackberry
European hackberry
red silk-cotton tree
roble
albizzia
bayberry
angiospermous tree
balata
gymnospermous tree
ceibo
lacebark
pollard
wild medlar
mescal bean
blackwood
coralwood
India-rubber tree
pipal
smooth-leaved elm
Queen's crape myrtle
looking-glass plant
royal poinciana
cornelian cherry
bunchberry
inkberry
longan
loquat
medlar
litchi
rambutan
jaboticaba
kumquat
pomelo
fuji
hagberry tree
Ozark chinkapin
carnauba
caranday
palmyra
huisache
miro
arborvitae
araucaria
metasequoia
deodar
Oriental arborvitae
American arborvitae
bunya bunya
table-mountain pine
gumbo-limbo
liquidambar
bluejack oak
lightwood
bluebonnet
Texas bluebonnet
cat's-ear
horseweed
hippeastrum
iridaceous plant
liliaceous plant
star-of-Bethlehem
blue-eyed grass
blackberry-lily
snake's head fritillary
clintonia
scilla
alliaceous plant
yellow adder's tongue
Turk's-cap
Turk's-cap
Tulipa gesneriana
garlic chive
Hottentot fig
livingstone daisy
nopal
nopal
night-blooming cereus
night-blooming cereus
night-blooming cereus
echinocactus
mammillaria
anthurium
gloxinia
baneberry
red baneberry
gloriosa
creepy-crawly
hexapod
doodlebug
tobacco hornworm
cabbageworm
tomato hornworm
cutworm
armyworm
ridgeling
ascidian
elasmobranch
trumpetfish
pipefish
spiny-finned fish
soft-finned fish
percoid fish
dragonet
frogfish
soldierfish
goosefish
scorpaenoid
plectognath
scombroid
carangid fish
mudskipper
tautog
sciaenid fish
wolffish
bonito
wahoo
cero
scad
chaetodon
mulloway
scorpaenid
stonefish
cowfish
boxfish
balloonfish
bonefish
pollack
cypriniform fish
clupeid fish
characin
cyprinodont
cyprinid
topminnow
guppy
swordtail
crucian carp
barracouta
jewfish
smoothhound
ambystomid
eft
red eft
crapaud
wood-frog
tusker
lagomorph
pachyderm
peba
two-toed sloth
two-toed sloth
three-toed sloth
Neandertal man
siamang
patas
guenon
procyonid
viverrine
musteline mammal
coati
mouser
margay
manul
slender-tailed meerkat
suricate
Brabancon griffon
Leonberg
griffon
dalmatian
spitz
basenji
keeshond
Shih-Tzu
Pekinese
Rhodesian ridgeback
schnauzer
wirehair
wire-haired fox terrier
bullterrier
soft-coated wheaten terrier
standard schnauzer
giant schnauzer
miniature schnauzer
Staffordshire bullterrier
vizsla
German short-haired pointer
clumber
flat-coated retriever
curly-coated retriever
otterhound
Ibizan hound
Norwegian elkhound
coonhound
black-and-tan coonhound
bluetick
Scottish deerhound
redbone
Weimaraner
borzoi
Sennenhunde
kuvasz
housedog
pinscher
schipperke
miniature pinscher
affenpinscher
malamute
EntleBucher
Appenzeller
komondor
briard
groenendael
malinois
black-footed ferret
vespertilian bat
bottle-nosed whale
leporid
lapin
aperea
even-toed ungulate
odd-toed ungulate
vicuna
black-tailed deer
aoudad
dik-dik
sassaby
Thomson's gazelle
wether
carthorse
cayuse
bronco
mustang
grevy's zebra
dasyurid marsupial
phalanger
chelonian
soft-shelled turtle
cooter
colubrid snake
massasauga
taipan
hamadryad
blacksnake
hognose snake
whip-snake
iguanid
lacertid lizard
anguid lizard
chuckwalla
side-blotched lizard
agama
blindworm
piciform bird
coraciiform bird
caprimulgiform bird
cuculiform bird
gamecock
gallinaceous bird
trogon
carinate
dickeybird
crested cariama
chunga
boatbill
black-crowned night heron
yellow-crowned night heron
saddlebill
jabiru
notornis
Hudsonian godwit
killdeer
black-necked stilt
black-winged stilt
Wilson's snipe
dowitcher
tattler
willet
red-backed sandpiper
yellowlegs
greater yellowlegs
lesser yellowlegs
Wilson's phalarope
cygnet
coscoroba
Bewick's swan
pelecaniform seabird
sphenisciform seabird
larid
jaeger
black-backed gull
parasitic jaeger
red-necked grebe
pied-billed grebe
black-necked grebe
dabchick
snakebird
solan
anseriform bird
gosling
honker
bufflehead
American widgeon
sheldrake
Barrow's goldeneye
quack-quack
muscovy duck
widgeon
canvasback
greenwing
bluewing
scoter
common scoter
red-breasted merganser
smew
goosander
broadbill
tyrannid
oscine
scrubbird
ovenbird
manakin
pitta
woodhewer
kingbird
phoebe
pewee
vermillion flycatcher
western wood pewee
scissortail
grey kingbird
eastern kingbird
Arkansas kingbird
corvine bird
red-eyed vireo
gnatcatcher
ovenbird
parula warbler
yellow-breasted chat
Audubon's warbler
Wilson's warbler
ruby-crowned kinglet
tailorbird
Clark's nutcracker
bushtit
black-capped chickadee
missel thrush
bluethroat
serin
towhee
brambling
dark-eyed junco
hawfinch
white-throated sparrow
white-crowned sparrow
ortolan
bobolink
Bullock's oriole
red-winged blackbird
white-bellied swallow
red-breasted nuthatch
white-breasted nuthatch
Archilochus colubris
jacamar
barbet
toucanet
sapsucker
yellow-shafted flicker
red-breasted sapsucker
yellow-bellied sapsucker
motmot
Euopean hoopoe
griffon vulture
red-shouldered hawk
Cooper's hawk
rough-legged hawk
carancha
white-tailed kite
swallow-tailed kite
long-eared owl
touraco
coucal
roadrunner
columbiform bird
Streptopelia turtur
phasianid
tinamou
tragopan
ring-necked pheasant
red-legged partridge
cockateel
kea
lovebird
lory
popinjay
budgerigar
ring-necked parakeet
sulphur-crested cockatoo
coelenterate
chiton
soft-shell clam
octopod
seasnail
ormer
nerita
anthozoan
Portuguese man-of-war
gorgonian
daphnia
brachyuran
malacostracan crustacean
harvestman
acarine
orb-weaving spider
orthopterous insect
hemipterous insect
neuropteron
dictyopterous insect
collembolan
homopterous insect
dipterous insect
heteropterous insect
lepidopterous insect
odonate
bedbug
dobson
green lacewing
lacewing
meadow spittlebug
seventeen-year locust
blowfly
greenbottle
bluebottle
sawyer
lamellicorn beetle
Asian longhorned beetle
elaterid beetle
long-horned beetle
Hippodamia convergens
vedalia
scarabaeid beetle
rose chafer
cockchafer
andrena
leaf-cutting bee
nymphalid
red-spotted purple
saturniid
tea tortrix
geometrid
tineid
cecropia
protoctist
ameba
paramecium
lowerclassman
philatelist
nonworker
nonsmoker
right-hander
oldster
serjeant-at-law
mother's boy
miler
picador
banderillero
right-handed pitcher
fire-eater
executant
dancing-master
Kiliwa
Muslimah
agriculturist
policyholder
concert-goer
skidder
mill-hand
artist's model
mender
coiffeur
Mexican-American
Netherlander
Togolese
Herero
Labourite
officiant
organ-grinder
sunbather
casuist
fire-eater
bragger
skin-diver
unicyclist
saunterer
psycholinguist
lumper
econometrician
microeconomist
mother's daughter
smasher
primigravida
signorina
beldam
father-in-law
in-law
great-niece
great-aunt
great-nephew
earthball
hen-of-the-woods
gyromitra
pythium
helvella
discomycete
Phytophthora infestans
Jew's-ear
lecanora
fairy-ring mushroom
blewits
lepiota
nameko
false deathcap
shaggymane
Boletus chrysenteron
histiocyte
aerie
wasp's nest
hypanthium
floret
rowanberry
mealie
cowpea
spadix
cornstalk
belay
bracteole
snowcap
encolure
mustachio
soup-strainer
heterotroph
check-in
curvet
piaffe
funambulism
Fosbury flop
cross-country skiing
natation
dead-man's float
belly flopper
belly whop
belly whopper
skin-dive
surfboarding
surfriding
water-skiing
in-fighting
rope-a-dope
luging
bobsledding
rassling
Greco-Roman wrestling
equitation
pony-trekking
cross-country riding
cross-country jumping
tauromachy
battue
beagling
foxhunt
pigsticking
sportfishing
fly-fishing
shovelboard
shinney
no-hit game
no-hitter
one-hitter
1-hitter
two-hitter
2-hitter
three-hitter
3-hitter
four-hitter
4-hitter
five-hitter
5-hitter
stickball
stickball game
pushball
jai alai
pelota
battledore
battledore and shuttlecock
pallone
Lord's Supper
creepy-crawly
homeotherm
homoiotherm
homotherm
poikilotherm
ectotherm
bottom-feeder
bottom-dweller
bottom-feeder
jument
sumpter
stocker
migrator
molter
moulter
stayer
by-catch
acrodont
pleurodont
micro-organism
monohybrid
arborvirus
arenavirus
Arenaviridae
vesiculovirus
Reoviridae
viroid
virusoid
coliphage
HSV-1
HSV-I
polyoma
polyoma virus
lyssavirus
reovirus
moneran
moneron
archaebacterium
archaeobacteria
archeobacteria
bacteroid
Bacillus anthracis
spirillum
spirilla
botulinus
clostridium perfringens
blue-green algae
trichodesmium
nitrobacteria
spirillum
Francisella
genus Francisella
gonococcus
Corynebacterium diphtheriae
C. diphtheriae
Klebs-Loeffler bacillus
enterobacteria
enterics
entric
klebsiella
Salmonella typhosa
actinomycete
streptomyces
Streptomyces erythreus
pus-forming bacteria
streptobacillus
myxobacterium
myxobacter
staphylococcus
diplococcus
pneumococcus
Diplococcus pneumoniae
spirochete
endoparasite
entoparasite
entozoan
entozoon
endozoan
ectozoan
ectozoon
epizoan
epizoon
myrmecophile
protoctist
protozoon
sarcodinian
sarcodine
heliozoan
endameba
ameba
globigerina
testacean
arcella
difflugia
ciliophoran
paramecium
paramecia
stentor
arame
yellow-green algae
fucoid
fucoid algae
fucoid
fucus
bladderwrack
Ascophyllum nodosum
chlorophyte
chlorella
stonewort
desmid
eucaryote
procaryote
zoomastigote
zooflagellate
polymastigote
costia
Costia necatrix
giardia
cryptomonad
cryptophyte
sporozoan
sporozoite
trophozoite
merozoite
coccidium
eimeria
leucocytozoan
leucocytozoon
cypriniform fish
cyprinid
cyprinid fish
Abramis brama
Tinca tinca
Leuciscus leuciscus
Leuciscus cephalus
Notropis cornutus
Rutilus rutilus
Scardinius erythrophthalmus
Phoxinus phoxinus
Gobio gobio
crucian carp
Carassius carassius
Electrophorus electric
catostomid
buffalofish
Ictiobus niger
Hypentelium nigricans
redhorse
redhorse sucker
cyprinodont
mummichog
Fundulus heteroclitus
mayfish
Fundulus majalis
rivulus
flagfish
American flagfish
Jordanella floridae
swordtail
helleri
topminnow
Xyphophorus helleri
guppy
Lebistes reticulatus
topminnow
poeciliid fish
poeciliid
live-bearer
Gambusia affinis
Platypoecilus maculatus
mollie
squirrelfish
reef squirrelfish
Holocentrus coruscus
deepwater squirrelfish
Holocentrus bullisi
Holocentrus ascensionis
soldierfish
soldier-fish
anomalops
Photoblepharon palpebratus
Zeus faber
boarfish
Capros aper
boarfish
cornetfish
prickleback
three-spined stickleback
Gasterosteus aculeatus
ten-spined stickleback
Gasterosteus pungitius
pipefish
dwarf pipefish
Syngnathus hildebrandi
deepwater pipefish
Cosmocampus profundus
snipefish
shrimpfish
shrimp-fish
trumpetfish
Aulostomus maculatus
conceptus
abortus
blastosphere
blastodermic vessicle
gastrula
morula
vitellus
cephalochordate
urochordate
urochord
ascidian
salp
salpa
doliolum
larvacean
appendicularia
ascidian tadpole
craniate
Amniota
agnathan
ostracoderm
heterostracan
anaspid
cyclostome
lamper eel
Petromyzon marinus
Myxine glutinosa
eptatretus
gnathostome
placoderm
chondrichthian
holocephalan
holocephalian
rabbitfish
Chimaera monstrosa
elasmobranch
selachian
six-gilled shark
Isurus oxyrhincus
bonito shark
Isurus glaucus
man-eater
man-eating shark
Alopius vulpinus
Ginglymostoma cirratum
white-tipped shark
Carcharinus longimanus
soupfin shark
soupfin
soup-fin
Galeorhinus zyopterus
smoothhound
smoothhound shark
Mustelus mustelus
Florida smoothhound
Mustelus norrisi
Triaenodon obseus
Squalus suckleyi
shovelhead
Pristis pectinatus
cownose ray
cow-nosed ray
Rhinoptera bonasus
devilfish
Mobula hypostoma
Raja batis
dickeybird
dickey-bird
dickybird
dicky-bird
fledgeling
gamecock
archaeopteryx
archeopteryx
archaeornis
carinate
carinate bird
Struthio camelus
apteryx
nandu
Pterocnemia pennata
aepyornis
passeriform bird
nonpasserine bird
oscine
oscine bird
honeysucker
dunnock
Prunella modularis
titlark
Fringilla coelebs
brambling
Fringilla montifringilla
Carduelis carduelis
lintwhite
Carduelis cannabina
Carduelis spinus
Carduelis flammea
Carduelis hornemanni
yellowbird
Spinus pinus
Carpodacus mexicanus
Carpodacus purpureus
Serinus canaria
serin
Loxia curvirostra
Pyrrhula pyrrhula
snowbird
dark-eyed junco
slate-colored junco
Junco hyemalis
Pooecetes gramineus
white-throated sparrow
Zonotrichia albicollis
white-crowned sparrow
Zonotrichia leucophrys
Spizella passerina
Spizella pusilla
Spizella arborea
Melospiza melodia
Melospiza georgiana
ortolan
ortolan bunting
Emberiza hortulana
yellow-breasted bunting
Emberiza aureola
snowbird
Plectrophenax nivalis
grossbeak
Hesperiphona vespertina
hawfinch
Coccothraustes coccothraustes
Pinicola enucleator
Richmondena Cardinalis
redbird
pyrrhuloxia
Pyrrhuloxia sinuata
towhee
chewink
cheewink
Pipilo erythrophthalmus
green-tailed towhee
Chlorura chlorura
weaverbird
baya
Ploceus philippinus
whydah
whidah
ricebird
Padda oryzivora
avadavat
amadavat
grassfinch
Poephila castanotis
scrubbird
scrub-bird
broadbill
tyrannid
kingbird
Tyrannus tyrannus
Arkansas kingbird
western kingbird
Cassin's kingbird
Tyrannus vociferans
eastern kingbird
grey kingbird
gray kingbird
petchary
Tyrannus domenicensis domenicensis
pewee
peewit
pewit
wood pewee
Contopus virens
western wood pewee
Contopus sordidulus
phoebe
phoebe bird
Sayornis phoebe
vermillion flycatcher
Pyrocephalus rubinus mexicanus
chatterer
manakin
bellbird
Cephalopterus ornatus
ovenbird
Hylophylax naevioides
woodhewer
woodcreeper
wood-creeper
pitta
scissortail
scissortailed flycatcher
Muscivora-forficata
Muscicapa grisola
thickhead
missel thrush
snowbird
Turdus iliacus
merl
ousel
clay-colored robin
Turdus greyi
veery
Wilson's thrush
Hylocichla fuscescens
Luscinia megarhynchos
Luscinia luscinia
Saxicola torquata
redtail
Erithacus rubecola
bluethroat
Erithacus svecicus
gnatcatcher
golden-crested kinglet
gold-crowned kinglet
Regulus satrata
ruby-crowned kinglet
ruby-crowned wren
Silvia atricapilla
Sylvia curruca
Phylloscopus sibilatrix
reedbird
Acrocephalus schoenobaenus
tailorbird
Orthotomus sutorius
cackler
parula warbler
northern parula
Parula americana
Wilson's warbler
Wilson's blackcap
Wilsonia pusilla
flycatching warbler
Setophaga ruticilla
Dendroica tigrina
yellowbird
Dendroica petechia
Audubon's warbler
Dendroica auduboni
Dendroica coronata
yellow-breasted chat
Icteria virens
ovenbird
Seiurus aurocapillus
Geothlypis trichas
riflebird
Ptloris paradisea
Icterus galbula
hangbird
Icterus galbula galbula
Bullock's oriole
Icterus galbula bullockii
Icterus spurius
Sturnella magna
Sturnella neglecta
cazique
bobolink
ricebird
reedbird
Dolichonyx oryzivorus
Quiscalus quiscula
Euphagus carilonus
red-winged blackbird
Agelaius phoeniceus
Oriolus oriolus
fig-bird
rose-colored starling
rose-colored pastor
Pastor sturnus
mynah
mina
minah
mynah bird
Gracula religiosa
corvine bird
Corvus brachyrhyncos
Corvus frugilegus
Garullus garullus
jaybird
Cyanocitta cristata
Perisoreus canadensis
Perisoreus canadensis capitalis
Nucifraga caryocatactes
Clark's nutcracker
Nucifraga columbiana
Pica pica hudsonia
piping crow-shrike
Troglodytes aedon
long-billed marsh wren
Cistothorus palustris
short-billed marsh wren
Cistothorus platensis
Salpinctes obsoletus
Mimus polyglotktos
Melanotis caerulescens
Dumetella carolinensis
Toxostoma rufums
Xenicus gilviventris
Acanthisitta chloris
tichodrome
Tichodroma muriaria
red-breasted nuthatch
white-breasted nuthatch
black-capped chickadee
Parus atricapillus
tomtit
Parus caeruleus
bushtit
wren-tit
Chamaea fasciata
verdin
Auriparus flaviceps
Hirundo pyrrhonota
white-bellied swallow
Iridoprocne bicolor
Progne subis
Piranga olivacea
redbird
Piranga ludoviciana
summer redbird
Piranga rubra
Piranga flava hepatica
Lanius excubitor
white-rumped shrike
Lanius ludovicianus excubitorides
Lanius lucovicianus
Lanius ludovicianus migrans
black-fronted bush shrike
Chlorophoneus nigrifrons
Ptilonorhynchus violaceus
Chlamydera nuchalis
Cinclus aquaticus
Cinclus mexicanus
red-eyed vireo
Vireo olivaceous
Vireo solitarius
blue-headed vireo
Vireo solitarius solitarius
cedarbird
Bombycilla cedrorun
Accipitriformes
order Accipitriformes
tiercel
tercel
tercelet
Cooper's hawk
Accipiter cooperii
buteonine
redtail
red-tailed hawk
rough-legged hawk
roughleg
red-shouldered hawk
Pernis apivorus
Milvus migrans
swallow-tailed kite
swallow-tailed hawk
Elanoides forficatus
white-tailed kite
Circus Aeruginosus
Montagu's harrier
Circus pygargus
short-toed eagle
falcon-gentle
falcon-gentil
gerfalcon
Falco rusticolus
Audubon's caracara
Polyborus cheriway audubonii
carancha
Polyborus plancus
Harpia harpyja
Aquila rapax
Stellar's sea eagle
erne
white-tailed sea eagle
Haliatus albicilla
Haliaeetus leucorhyphus
Aegypiidae
family Aegypiidae
griffon vulture
griffon
lammergeyer
Gypaetus barbatus
Pharaoh's chicken
Aegypius monachus
Sagittarius serpentarius
cathartid
Sarcorhamphus papa
hooter
Otus sunia
Surnia ulula
long-eared owl
Sceloglaux albifacies
Ichyostega
urodele
Salamandra salamandra
red eft
rough-skinned newt
Taricha torosa
eft
ambystomid
ambystomid salamander
Ambystoma talpoideum
waterdog
Cryptobranchus alleganiensis
Megalobatrachus maximus
dicamptodon
dicamptodontid
Dicamptodon ensatus
Rhyacotriton olympicus
plethodont
eastern red-backed salamander
western red-backed salamander
Plethodon vehiculum
Aneides lugubris
web-toed salamander
Hydromantes shastae
Hydromantes brunus
amphiuma
congo snake
congo eel
batrachian
salientian
ranid
wood-frog
Rana cascadae
tarahumara frog
Rana tarahumarae
leptodactylid frog
leptodactylid
