Mad Max Rockatansky
a madman
Madonna
Mae West
a magician
Mahatma Gandhi
a maiden
Malcolm X
Malcontent
Maleficent
a maniac
Mao Tse-tung
Marcel Duchamp
Marco Pierre White
Marco Polo
Margaret Thatcher
Marge Simpson
Mariah Carey
Marie Curie
Marilyn Monroe
Mark Twain
Mark Zuckerberg
Marlene Dietrich
Marlon Brando
Martha Stewart
Martin Luther King
Marty McFly
a mascot
a mastermind
Mata Hari
a mathematician
Matt Drudge
Maximus Decimus Meridius
a mayor
Mayor Joe Quimby
Megan Fox
Mel Brooks
Mel Gibson
a mentor
a mercenary
Meryl Streep
the Messiah
Michael Bay
Michael Corleone
Michael J. Fox
Michael Jackson
Michael Jordan
Michael Moore
Michael Myers
Michael O'Leary
Michael Phelps
Michael Schumacher
Michelangelo
Michelle Obama
Mick Jagger
Mickey Mouse
Mickey Rourke
Mike Tyson
Mikhail Gorbachev
Miles Davis
a millionaire
Ming The Merciless
a miser
Miss Jane Marple
a mistress
Modesty Blaise
Moe Szyslak
a mogul
Monica Geller
Monica Lewinsky
a monk
Monsieur Hulot
a monster
Montgomery Burns
Morpheus
Moses
a mother
Mother Teresa
a motorcyclist
a mouse
Mr. Bean
Mr. Darcy
Mr. Edward Hyde
Mr. Krabs
Mr. Miyagi
Mr. Spock
Mrs. Doubtfire
Muhammad Ali
a musician
a nanny
Naomi Campbell
Napoleon Bonaparte
a narcissist
a necromancer
Ned Flanders
a neighbour
Neil Armstrong
Nelson Mandela
Nelson Muntz
a nerd
Neville Chamberlain
Newt Gingrich
Niccolò Machiavelli
Niccolò Paganini
Nick Fury
Nicolas Cage
Nicolas Sarkozy
Nigel Tufnel
Nigella Lawson
Nihilist
Nikola Tesla
Niles Crane
Noah
Noam Chomsky
Norma Desmond
Norman Bates
Norman Rockwell
Nostradamus
a novelist
Noël Coward
a nun
a nurse
Obi-wan Kenobi
an obsessive
Octopus
an ogre
an old man
Olive Oyl
Ophelia
Oprah Winfrey
Optimus Prime
an orator
an orphan
Orson Welles
Orville Wright
Osama Bin Laden
Oscar Pistorius
Oscar Wilde
an outcast
an outdoorsman
Ozzy Osbourne
P. T. Barnum
Pablo Picasso
Pac Man
a painter
Pamela Anderson
Paris Hilton
Patch Adams
Paul McCartney
Pepé Le Pew
a performer
Perry Mason
a pervert
Pete Sampras
Peter Griffin
Peter Jackson
Peter Pan
Peter Parker
Philanthropist
Philip Marlowe
Philosopher
Phoebe Buffay
a physicist
a pianist
a pickpocket
Piers Morgan
a pig
a pilot
Pinocchio
a pioneer
a pirate
Plato
a playboy
a playwright
Pocahontas
a poet
a policeman
a political leader
a politician
Polonius
Pontius Pilate
the Pope
a Pope
Pope Benedict XVI
Pope Francis
Popeye
Porky Pig
a preacher
a predator
a presenter
the President
a president
a pretender
Prime minister
a prince
a princess
Princess Fiona
Princess Leia Organa
Principal
Principal Seymour Skinner
a prisoner
a producer
a professor
Professor Charles Xavier
Professor Hans Zarkov
Professor James Moriarty
a programmer
a promoter
a propagandist
a prophet
a prosecutor
a psychiatrist
a psychopath
a publisher
a pundit
a punk
a puppet
a queen
the queen
Queen Elizabeth I
Quentin Tarantino
R2D2
a rabbit
a raccoon
a racer
Rachel Green
a racist
a Rradical
Rain Man
Rainier Luftwaffe Wolfcastle
Ralph Nader
a rapper
Ray Kroc
Raymond Chandler
a rebel
a recluse
Red Sonja
a religious leader
a reporter
a revolutionary
Richard B. Riddick
Richard Branson
Richard Dawkins
Richard Nixon
Richie Rich
Rick Deckard
Ricky Martin
Rico Tubbs
Ridley Scott
Ringo Starr
Robbie Williams
Robert De Niro
Robert Downey Jr.
Robert Langdon
Robert Redford
Robin Hood
Robin Williams
Robinson Crusoe
a robot
Rocket Raccoon
Rocky Balboa
Roger Federer
a role model
Romeo Montague
Ron Burgundy
Ron Weasley
Ronald McDonald
Rosa Parks
Ross Geller
Roy Batty
a royal
Rudy Giuliani
a runner
Rupert Murdoch
Rush Limbaugh
Russell Brand
Russell Crowe
Saddam Hussein
a sailor
Salman Rushdie
Salvador Dali
Sam Spade
Sam Winchester
Samson
Samuel Johnson
Samuel Pepys
Samwise Gamgee
Santa Claus
Sarah Connor
Sarah Jessica Parker
Sarah Palin
Sarah Silverman
Saruman the White
Saul Goodman
Sauron
a savant
Savonarola
a scandalmonger
Scarlett O'Hara
a scholar
a scientist
Scipio Africanus
Scott Evil
a sculptor
a seamstress
Sean Connery
Sean Penn
a secret agent
a seductress
Selma Bouvier
Sergey Brin
Serial killer
Seth MacFarlane
Severus Snape
Sheldon Cooper
Sheriff
Sherlock Holmes
Shirley Temple
a shopper
Showman
Shrek
a shyster
Sid Vicious
Sidekick
Sideshow Bob
Sigmund Freud
Silvio Berlusconi
Simon Cowell
Simon Pegg
Simone de Beauvoir
a singer
Sir Hugo Drax
a sister
a skeptic
a skunk
a slacker
a slave
a smuggler
Snake Plissken
a snob
a soldier
a son
a songwriter
Sonny Crockett
Spartacus
a speculator
a spinster
a sponge
Spongebob Squarepants
a sportsman
a spy
Squidward Tentacles
Stan Lee
Stanley Kowalski
a statistician
Stephen Colbert
Stephen Hawking
Stephen Jay Gould
Stepmother
Steve Ballmer
Steve Jobs
Steve Martin
Steven Spielberg
Stewie Griffin
a student
a suitor
Sun Tzu
a superhero
Svengali
a swimmer
Swindler
Sydney Bristow
Sylvester Stallone
Sylvester the Cat
Sylvia Plath
Tarzan
a teacher
a technologist
a teenager
a terrorist
The Artful Dodger
The HamBurglar
The Joker
The Scarlet Pimpernel
Theodore Roosevelt
a therapist
a thief
"Thomas ""Neo"" Anderson"
Thomas Edison
Thomas Pynchon
Thor Odinson
a thug
Tiger Woods
Tim Berners-Lee
Tim Burton
Timothy McGee
Tina Fey
Tina Turner
Tiny Tim Cratchit
Toady
Tom Cruise
Tom Hanks
Tom Jones
Tom Ripley
Tom Sawyer
Tom Waits
Tomás de Torquemada
Tony Blair
Tony DiNozzo
Tony Montana
Tony Robbins
Tony Soprano
Tony Stark
Tracy Jordan
a trader
a traitor
a transvestite
Travis Bickle
a tree
the Trinity
Trinity
Troy McClure
Truman Capote
a trumpeter
Tweety Pie
a tycoon
Tyler Durden
a tyrant
Tyrion Lannister
Uri Geller
Uriah Heap
a vagabond
a vampire
a veteran
Victor Frankenstein
Victor Meldrew
a vigilante
a viking
a villain
Vincent Van Gogh
Virginia Woolf
a visionary
Vladimir Lenin
Vladimir Putin
Voltaire
a voyeur
Walt Disney
Walt Whitman
Walter Mitty
Walter White
a wanderer
Warren Buffett
a warrior
Waylon Smithers
Wayne Gretzky
Wayne Rooney
Weird Al Yankovic
Wesley Crusher
Whistleblower
a widow
a wife
Wilbur Wright
Wile E. Coyote
Wilkins Micawber
Will Smith
William Randolph Hearst
William Shakespeare
William Shatner
Willy Wonka
Winston Churchill
a wizard
Wolfgang Amadeus Mozart
a womanizer
Woody Allen
Woody Guthrie
a wrestler
a writer
Wyatt Earp
Xena
Yoda
Yogi Berra
Yosemite Sam
a zealot
Zsa Zsa Gabor
Superman
Mickey Mouse
James Bond
Bugs Bunny
Batman
Dorothy from Wizard of Oz
Darth Vader
Peter Pan
Indiana Jones
Rocky Balboa
Han Solo
Homer Simpson
Lucy Ricardo
Archie Bunker
King Kong
Spiderman
Barbie
Spock
Godzilla
The Joker
Winnie the Pooh
Popeye
Tarzan
Forrest Gump
Big Bird
Tony Soprano
The Terminator
Marty McFly
Charlie Brown
E.T.
the dog Lassie
Fred Flintstone
Kermit the Frog
Yoda
Zorro
the Three Stooges
Marry Poppins
Mario from Super Mario Brothers
Luigi from Super Mario Brothers
Harry Potter
Gandalf
The Grinch
Willy Wonka
The Hulk
Scooby Doo
George Costanza from Seinfield
Jerry Seinfield
Pikachu
Michael Scott from the Office
Bambi
Wolverine from the Xmen
Tony Stark from Iron Man
Katniss Everdeen from the Hunger Games
Shrek
Sonic the Hedgehog
Porky Pig
Pinochio
Spongebob Squarepants
Mickey Mouse
Donald Duck
Goofy
the Little Mermaid
Belle from Beauty and the Beast
Snow White
Curella de Vil
Simba from the Lion King
Peter Pan
Cinderella
Olaf from Frozen
the Genie from Aladdin
Jack Sparrow from Pirates of the Caribbean
Pocahontas
Elsa from Frozen
Woody from Toy Story
Buzz Lightyear from Toy Story
Lightning McQueen from Cars
Mater from Cars
Wall-E from the Pixar movie
Bilbo Baggins
Frodo Baggins
Harry Potter
Ron Weasley
Hermione Granger
Lord Voldemort
Draco Malfoy
Ginny Weasley
Severus Snape
Hagrid
Dumbledore
Neville Longbottom
Luke Skywalker
Princess Leia
Anakin Skywalker
Boba Fett
Chewbacca
Yoda
Han Solo
Kylo Ren
Obi-Wan Kenobi
a Kaggle user
a Kaggler
a data scientist
a coder
a programmer
a nerd
a AI
a chatbot
a robot
a scientist
a physicist
a mathematician
a statistician
a engineer
a developer
a astronaut
a Klingon
a alien
a princess
a king
a queen
a hobbit
a dwarf
a bard
a cleric
a paladin
a monk
a elf
a dragon
a golem
a orc
a wizard
a witch
a mage
a fairy
a pirate
a astronaut
a criminal
a ascetic
a propagandist
a hero
a villain
a writer
a nun
a athlete
a poet
a snob
a pig
a explorer
a pervert
a humorist
a heroine
a runner
a rebel
a lady
a president
a bank robber
a psychiatrist
a detective
a pioneer
a prophet
a sculptor
a political leader
a guru
a brother
a obsessive
a secret agent
a dancer
a charlatan
a devil
a soldier
a pundit
a mouse
a general
a student
a cowboy
a despot
a traitor
a loner
a visionary
a skunk
a monster
a seductress
a friend
a drummer
a spy
a barbarian
a transvestite
a artist
a nanny
a scholar
a daredevil
a killer
a tycoon
a director
a robot
a scientist
a business leader
a slacker
a feminist
a miser
a whistleblower
a revolutionary
a teacher
a bureaucrat
a tyrant
a professor
a autocrat
a exile
a basketball player
a warrior
a composer
a sidekick
a nerd
a playboy
a novelist
a bodybuilder
a princess
a intellectual
a nurse
a monk
a narcissist
a policeman
a crooner
a daughter
a queen
a actress
a freak
a fool
a vagabond
a judge
a embezzler
a voyeur
a slave
a genius
a lover
a lawyer
a painter
a doctor
a dwarf
a terrorist
a mentor
a android
a outdoorsman
a philosopher
a skeptic
a comedian
a sportsman
a colonel
a captain
a adventurer
a journalist
a recluse
a child
a bully
a activist
a gentleman
a diarist
a host
a archeologist
a radical
a vigilante
a wanderer
a vampire
a complainer
a entertainer
a pickpocket
a capitalist
a frontiersman
a cop
a thief
a lackey
a cheat
a boxer
a preacher
a toady
a fighter
a fugitive
a historian
a designer
a emperor
a campaigner
a mother
a thug
a racist
a cyborg
a bigot
a wrestler
a pianist
a smuggler
a gladiator
a orator
a actor
a pornographer
a mastermind
a singer
a adulteress
a shyster
a god
a hacker
a pilot
a bore
a inventor
a drifter
a bachelor
a discoverer
a dictator
a assassin
a teenager
a philanthropist
a king
a serial killer
a psychopath
a footballer
a wife
a politician
a hippie
a mercenary
a father
a demon
a clerk
a orphan
a clown
a musician
a hunter
a womanizer
a fashion designer
a religious leader
a aristocrat
a cat
a swindler
a dreamer
a chef
a billionaire
a ogre
a computer
a tree
a wizard
a con man
a reporter
a conqueror
a magician
an antelope
an eagle
an elephant
an octopus
an okapi
an orangutan
an otter
an owl
an ox
an oyster
a badger
a bat
a bear
a bee
a beetle
a bison
a boar
a butterfly
a cat
a caterpillar
a chimpanzee
a cockroach
a cow
a coyote
a crab
a crow
a deer
a dog
a dolphin
a donkey
a dragonfly
a duck
a flamingo
a fly
a fox
a goat
a goldfish
a goose
a gorilla
a grasshopper
a hamster
a hare
a hedgehog
a hippopotamus
a hornbill
a horse
a hummingbird
a hyena
a jellyfish
a kangaroo
a koala
a ladybugs
a leopard
a lion
